Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
Raspberry Pi Pico Microcontroller (Type C Port), The main brain that controls the system., 1, 12.67, https://www.amazon.eg/-/en/APKLVSR-Raspberry-Pi-Pico-Microcontroller/dp/B0CRVTW1ZG/ref=sr_1_4?crid=2C2DYM7447BHR&dib=eyJ2IjoiMSJ9.kQiBed4GuQKaDKf9Hq4mHUuQnPxz08Jf8mUdllwC7VXXMMTrjlwB5WEXwMeqeXuUovVqzizCpHGAmiAGuMFNN1RUaDGYt2ySPlqZIz6pLg63f3Yg2iZu0l5C0tTw2Fhe8aMSmuc3_yonwcIbRUeGBwS-oPKQ4KRulmex-G1vh7A.RPC5t0xCwDJEfcByZO_3eS-CrWGus5QBqikweSSoTRM&dib_tag=se&keywords=Raspberry+Pi+Pico+2&qid=1784239751&sprefix=raspberry+pi+pico+2%2Caps%2C149&sr=8-4, Amazon.eg
OLED Display I2C 4 Pin 0.96″ – Blue Characters, Display games (Prints text and numbers used in games), 1, 2.77, https://makerselectronics.com/product/oled-display-i2c-4-pin-0-96%e2%80%b3-2/, Makers Electronics
Metal Momentary Push Button 2 pin 16mm, give the user the ability to control games, 3, 0.59, https://makerselectronics.com/product/metal-momentary-push-button-2-p-16mm/, Makers Electronics
